,Poem Title,line
314,LEMUEL KAYHART,"Here’s to the soldiers who battled the foe,"
315,LEMUEL KAYHART,"And death, death to treason as you all know,"
316,LEMUEL KAYHART,"Here’s to the sailors, those noble jack tars,"
317,LEMUEL KAYHART,So nobly they fought for the stripes and the stars.
318,LEMUEL KAYHART,
319,LEMUEL KAYHART,"Here’s to the boys who fell in the strife,"
320,LEMUEL KAYHART,To save us a nation each gave his own life;
321,LEMUEL KAYHART,"Here’s to the sailors who bleach on the surf,"
322,LEMUEL KAYHART,Here’s to the soldiers who sleep ’neath the turf.
323,LEMUEL KAYHART,
324,LEMUEL KAYHART,"Here’s to our Lincoln—although he is dead,"
325,LEMUEL KAYHART,"And calmly he rests in his green, mossy bed,—"
326,LEMUEL KAYHART,"His earthly career, although it is passed,"
327,LEMUEL KAYHART,On history’s pages forever will last.
328,LEMUEL KAYHART,
329,LEMUEL KAYHART,"Here’s to our country, sweet land of the free,"
330,LEMUEL KAYHART,"Here’s to our nation’s great liberty tree,"
331,LEMUEL KAYHART,"Here’s to our banner to freedom unfurled,"
332,LEMUEL KAYHART,"Here’s to our eagle, king bird of the world."
333,LEMUEL KAYHART,
334,LEMUEL KAYHART,"Here’s to our Union, as firm as the hills,"
335,LEMUEL KAYHART,"Here’s to the rivers that turn the great mills,"
336,LEMUEL KAYHART,"Here’s to our mountains of silver and gold,"
337,LEMUEL KAYHART,Our riches and power can never be told.
338,LEMUEL KAYHART,
339,LEMUEL KAYHART,"Here’s to our party—our friends with the rest,—"
340,LEMUEL KAYHART,"And here’s to the people we each love best,"
341,LEMUEL KAYHART,"May we live in the future like lambs of one flock,"
342,LEMUEL KAYHART,And all work together like the works of a clock.
343,LEMUEL KAYHART,
344,LEMUEL KAYHART,"And now I will stop, I’ve toasted to all,"
345,LEMUEL KAYHART,"Our country, our banner, the great and the small,"
346,LEMUEL KAYHART,"So now I will bid you a friendly adieu,"
347,LEMUEL KAYHART,"Three roaring cheers for the Red, White and Blue!"
348,LEMUEL KAYHART,
349,LEMUEL KAYHART,Footnote 1:
350,LEMUEL KAYHART,
351,LEMUEL KAYHART,Spoken by Lemuel Kayhart at the twentieth wedding anniversary of Mr.
352,LEMUEL KAYHART,"and Mrs. Lemuel Kayhart, on Monday, August 12, 1889, at Montville, N."
353,J.,J.
354,J.,
355,J.,
356,J.,
357,J.,
358,BEYOND THE SKIES,BEYOND THE SKIES
359,BEYOND THE SKIES,
360,BEYOND THE SKIES,
361,LEMUEL KAYHART,LEMUEL KAYHART
